Date,Price,Open,High,Low,Vol,Change
9/23/2013,1327,1326.2,1330.6,1317.5,0.07K,-0.0041
9/20/2013,1332.5,1368,1368,1325.9,0.10K,-0.0269
9/19/2013,1369.4,1360.6,1374.8,1359,0.11K,0.0473
9/18/2013,1307.6,1302.8,1364.6,1285,0.15K,-0.0014
9/17/2013,1309.4,1323,1323,1307,0.04K,-0.0064
9/16/2013,1317.8,1328.6,1330.2,1307.7,0.08K,0.0072
9/13/2013,1308.4,1328.2,1328.8,1306.5,0.02K,-0.0165
9/12/2013,1330.4,1360.4,1360.4,1320.6,0.03K,-0.0243
9/11/2013,1363.6,1360.6,1365.3,1359.9,0.02K,-0.0001
9/10/2013,1363.8,1371.9,1371.9,1359.8,0.02K,-0.0164
9/9/2013,1386.5,1385.3,1389,1385.3,0.01K,0.0001
9/6/2013,1386.3,1371.6,1389,1371.6,0.02K,0.0098
9/5/2013,1372.8,1391.8,1392.2,1365.7,0.06K,-0.0122
9/4/2013,1389.8,1388.5,1395.1,1386.8,0.01K,-0.0156
9/3/2013,1411.8,1387.5,1415.9,1383.6,0.02K,-0.0001
9/2/2013,1412,1394,1416.4,1373.6,206.00K,0.0115
8/30/2013,1395.9,1395.9,1395.9,1395.9,147.10K,-0.0119
8/29/2013,1412.7,1412.7,1412.7,1412.7,147.10K,-0.0041
8/28/2013,1418.5,1417,1432.9,1413.2,10.35K,-0.0011
8/27/2013,1420,1404.8,1423.9,1395.6,8.74K,0.0194
8/26/2013,1393,1398.1,1406.9,1388.9,3.91K,-0.0019
8/23/2013,1395.6,1375.8,1399.4,1367.8,5.50K,0.0182
8/22/2013,1370.7,1366.3,1381.2,1354.5,5.31K,0.0004
8/21/2013,1370.1,1370.4,1377.7,1359.6,6.15K,-0.0018
8/20/2013,1372.6,1365.2,1377.2,1351.6,4.38K,0.0051
8/19/2013,1365.7,1376,1382.4,1362.2,6.33K,-0.0039
8/16/2013,1371,1365,1379.1,1357,7.04K,0.0073
8/15/2013,1361.1,1335.4,1369.2,1318.2,5.60K,0.0206
8/14/2013,1333.6,1320.7,1336.1,1315.5,3.05K,0.0098
